frequency,callsign,city,state,power,lat,lon,height,slogan,owner,format,mlb,nfl,nba,nhl,market,rank,npr
99.5,WYCD,DETROIT,MI,17.5,42.45363888888889,83.16380555555556,238.0,99-5 YCD DETROIT'S COUNTRY,"Audacy License, LLC",Country,,,,,Detroit,13.0,False
88.1,WYCE,WYOMING,MI,10.0,42.91197222222222,85.68336111111111,54.0,WORLD OF MUSIC,GRAND RAPIDS CABLE ACCESS CENTER,Adult Alternative,,,,,Grand Rapids,68.0,False
102.9,WYHA,GRAND RAPIDS,MI,50.0,42.953611111111115,85.69861111111112,179.0,BIBLE BROADCASTING NETWORK,"Bible Broadcasting Network, Inc.",Religious Teaching,,,,,Grand Rapids,68.0,False
104.7,WYKX,ESCANABA,MI,100.0,45.929138888888886,87.26986111111111,105.0,KIX COUNTRY,"AURORA MEDIA, LLC",Country,,Lions,,,,,False
99.5,WYSS,SAULT STE. MARIE,MI,100.0,46.39669444444444,84.39780555555556,85.0,YES 99.5,"SOVEREIGN COMMUNICATIONS, LLC",Contemporary Hit Radio,,,,,,,False
92.7,WYVN,SAUGATUCK,MI,3.3,42.686138888888884,86.16808333333334,104.0,92.7 THE VAN,"MIDWEST COMMUNICATIONS, INC.",Classic Hits,,,,,,,False
94.3,WZNL,NORWAY,MI,2.55,45.82077777777778,88.04180555555556,58.0,94.3 THE BREEZE,"AMC PARTNERS ESCANABA, LLC",Adult Contemporary,,,,,,,False
104.5,WZTC,TRAVERSE CITY,MI,1.75,44.776666666666664,85.68397222222222,91.0,BOB FM 104.5,"PLAYTIME MEDIA, LLC",Adult Hits,,,,,Traverse City-Petoskey-Cadillac,178.0,False
105.7,WZTK,ALPENA,MI,4.5,45.066111111111105,83.48497222222223,88.0,105.7 THE BIRD,"WATZ RADIO, INC.",Oldies,,,,,,,False
92.5,WZUU,MATTAWAN,MI,4.7,42.25530555555556,85.68277777777779,81.0,YOUR MUSIC AUTHORITY,"Midwest Communications, Inc.",Rock,,,,,Kalamazoo,183.0,False
